family,section_ref,chapter,ledger_status,body,in_v1,category,title
SBC-201,102,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"APPLICABILITY"
SBC-201,103,1,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"CODE COMPLIANCE AGENCY"
SBC-201,104,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"DUTIES AND POWERS OF BUILDING OFFICIAL"
SBC-201,105,1,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"PERMITS"
SBC-201,106,1,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"FLOOR AND ROOF DESIGN LOADS"
SBC-201,107,1,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"SUBMITTAL DOCUMENTS"
SBC-201,108,1,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"TEMPORARY STRUCTURES AND USES"
SBC-201,109,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"FEES"
SBC-201,110,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"INSPECTIONS"
SBC-201,111,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"CERTIFICATE OF OCCUPANCY"
SBC-201,112,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"SERVICE UTILITIES"
SBC-201,113,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"MEANS OF APPEALS"
SBC-201,114,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"VIOLATIONS"
SBC-201,115,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"STOP WORK ORDER"
SBC-201,116,1,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"UNSAFE STRUCTURES AND EQUIPMENT"
SBC-201,201,2,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"GENERAL"
SBC-201,202,2,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"DEFINITIONS"
SBC-201,301,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"SCOPE."
SBC-201,302,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"OCCUPANCY CLASSIFICATION AND USE DESIGNATION"
SBC-201,303,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"ASSEMBLY GROUP A"
SBC-201,304,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"BUSINESS GROUP B"
SBC-201,305,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"EDUCATIONAL GROUP E"
SBC-201,306,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"FACTORY GROUP F"
SBC-201,307,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"HIGH-HAZARD GROUP H"
SBC-201,308,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"INSTITUTIONAL GROUP I"
SBC-201,309,3,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"MERCANTILE GROUP M"
SBC-201,310,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"RESIDENTIAL GROUP R"
SBC-201,311,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"STORAGE GROUP S"
SBC-201,312,3,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"UTILITY AND MISCELLANEOUS GROUP U"
SBC-201,401,4,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"SCOPE"
SBC-201,402,4,STUB,frontmatter_only,no,FRONTMATTER_ONLY_OR_STUB,"COVERED MALL AND OPEN MALL BUILDINGS"
SBC-201,404,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"ATRIUMS"
SBC-201,405,4,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"UNDERGROUND"
SBC-201,406,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"MOTOR-VEHICLE-RELATED OCCUPANCIES"
SBC-201,407,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"GROUP I-2"
SBC-201,408,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"GROUP I-3"
SBC-201,409,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"MOTION PICTURE PROJECTION ROOMS"
SBC-201,410,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"STAGES  PLATFORMS AND TECHNICAL PRODUCTION AREAS"
SBC-201,411,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"SPECIAL AMUSEMENT AREAS"
SBC-201,412,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"AIRCRAFT-RELATED OCCUPANCIES"
SBC-201,413,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"COMBUSTIBLE STORAGE"
SBC-201,414,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"HAZARDOUS MATERIALS"
SBC-201,415,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"GROUPS H-1  H-2  H-3  H-4 AND H-5"
SBC-201,416,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"SPRAY APPLICATION OF FLAMMABLE FINISHES"
SBC-201,417,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"DRYING ROOMS"
SBC-201,418,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"ORGANIC COATINGS"
SBC-201,419,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"ARTIFICIAL DECORATIVE VEGETATION"
SBC-201,420,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"GROUPS I-1  R-1  R-2  R-3 AND R-4"
SBC-201,421,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"HYDROGEN FUEL GAS ROOMS"
SBC-201,422,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"AMBULATORY CARE FACILITIES"
SBC-201,423,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"STORM SHELTERS"
SBC-201,424,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"PLAY STRUCTURES"
SBC-201,425,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"HYPERBARIC FACILITIES"
SBC-201,426,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"COMBUSTIBLE DUSTS  GRAIN PROCESSING AND STORAGE"
SBC-201,427,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"MEDICAL GAS SYSTEMS"
SBC-201,428,4,STUB,frontmatter_only,yes,FRONTMATTER_ONLY_OR_STUB,"HIGHER EDUCATION LABORATORIES"
SBC-201,503,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"GENERAL BUILDING"
SBC-201,504,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"BUILDING HEIGHT AND"
SBC-201,506,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"BUILDING AREA"
SBC-201,601,6,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"GENERAL"
SBC-201,602,6,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"CONSTRUCTION"
SBC-201,702,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"MULTIPLE USE FIRE"
SBC-201,703,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE-RESISTANCE"
SBC-201,708,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE PARTITIONS"
SBC-201,716,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"OPENING PROTECTIVES"
SBC-201,913,9,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE PUMPS"
SBC-201,,10,EXISTS_CANONICAL,verbatim_present,no,CANONICAL_PRIMARY_ONLY,"MAXIMUM FLOOR AREA ALLOWANCES PER OCCUPANT"
SBC-201,,10,EXISTS_CANONICAL,verbatim_present,no,CANONICAL_PRIMARY_ONLY,"MINIMUM NUMBER OF EXITS OR ACCESS TO EXITS PER STORY"
SBC-201,,5,EXISTS_CANONICAL,verbatim_present,no,CANONICAL_PRIMARY_ONLY,"ALLOWABLE BUILDING HEIGHT IN METERS ABOVE GRADE PLANEa"
SBC-201,,5,EXISTS_CANONICAL,verbatim_present,no,CANONICAL_PRIMARY_ONLY,"ALLOWABLE NUMBER OF STORIES ABOVE GRADE PLANEa b"
SBC-201,,5,EXISTS_CANONICAL,verbatim_present,no,CANONICAL_PRIMARY_ONLY,"a  b"
SBC-201,203,2,QUARANTINED,frontmatter_only,no,QUARANTINED_NEEDS_REVIEW,""
SBC-201,204,2,QUARANTINED,frontmatter_only,no,QUARANTINED_NEEDS_REVIEW,""
SBC-201,205,2,QUARANTINED,frontmatter_only,no,QUARANTINED_NEEDS_REVIEW,""
SBC-201,206,2,QUARANTINED,frontmatter_only,no,QUARANTINED_NEEDS_REVIEW,""
SBC-201,207,2,QUARANTINED,frontmatter_only,no,QUARANTINED_NEEDS_REVIEW,""
SBC-201,429,4,QUARANTINED,frontmatter_only,no,QUARANTINED_NEEDS_REVIEW,""
SBC-201,501,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"GENERAL"
SBC-201,502,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"BUILDING ADDRESS"
SBC-201,505,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"MEZZANINES AND"
SBC-201,507,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"UNLIMITED AREA"
SBC-201,508,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"MIXED USE AND"
SBC-201,509,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"INCIDENTAL USES"
SBC-201,510,5,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"SPECIAL PROVISIONS"
SBC-201,603,6,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"COMBUSTIBLE"
SBC-201,701,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"GENERAL"
SBC-201,704,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE-RESISTANCE"
SBC-201,705,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"EXTERIOR WALLS"
SBC-201,706,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE WALLS"
SBC-201,707,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE BARRIERS"
SBC-201,709,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"SMOKE BARRIERS"
SBC-201,710,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"SMOKE PARTITIONS"
SBC-201,711,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"HORIZONTAL"
SBC-201,712,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"VERTICAL OPENINGS"
SBC-201,713,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"SHAFT ENCLOSURES"
SBC-201,714,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"PENETRATIONS"
SBC-201,715,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE-RESISTANT JOINT"
SBC-201,717,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"DUCTS AND AIR"
SBC-201,718,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"CONCEALED SPACES"
SBC-201,719,7,EXISTS_CANONICAL,verbatim_present,yes,CANONICAL_IN_V1_AND_PRIMARY,"FIRE-RESISTANCE"
